,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition_Encoded
0,41,Yes,1,1102,Sales,1,2,Life Sciences,2,Female,3,Sales Executive,4,Single,5993,19479,1,11,3,1,0,8,0,1,6,4,0,1
1,49,No,2,279,Research & Development,8,1,Life Sciences,3,Male,2,Research Scientist,2,Married,5130,24907,0,23,4,4,1,10,3,3,10,7,1,0
2,37,Yes,1,1373,Research & Development,2,2,Other,4,Male,2,Laboratory Technician,3,Single,2090,2396,1,15,3,2,0,7,3,3,0,0,0,1
3,33,No,2,1392,Research & Development,3,4,Life Sciences,4,Female,3,Research Scientist,3,Married,2909,23159,1,11,3,3,0,8,3,3,8,7,3,0
4,27,No,1,591,Research & Development,2,1,Medical,1,Male,3,Laboratory Technician,2,Married,3468,16632,0,12,3,4,1,6,3,3,2,2,2,0
5,32,No,2,1005,Research & Development,2,2,Life Sciences,4,Male,3,Laboratory Technician,4,Single,3068,11864,0,13,3,3,0,8,2,2,7,7,3,0
6,59,No,1,1324,Research & Development,3,3,Medical,3,Female,4,Laboratory Technician,1,Married,2670,9964,1,20,4,1,3,12,3,2,1,0,0,0
7,30,No,1,1358,Research & Development,24,1,Life Sciences,4,Male,3,Laboratory Technician,3,Divorced,2693,13335,0,22,4,2,1,1,2,3,1,0,0,0
8,38,No,2,216,Research & Development,23,3,Life Sciences,4,Male,2,Manufacturing Director,3,Single,9526,8787,0,21,4,2,0,10,2,3,9,7,1,0
9,36,No,1,1299,Research & Development,27,3,Medical,3,Male,3,Healthcare Representative,3,Married,5237,16577,0,13,3,2,2,17,3,2,7,7,7,0
10,35,No,1,809,Research & Development,16,3,Medical,1,Male,4,Laboratory Technician,2,Married,2426,16479,0,13,3,3,1,6,5,3,5,4,0,0
11,29,No,1,153,Research & Development,15,2,Life Sciences,4,Female,2,Laboratory Technician,3,Single,4193,12682,1,12,3,4,0,10,3,3,9,5,0,0
12,31,No,1,670,Research & Development,26,1,Life Sciences,1,Male,3,Research Scientist,3,Divorced,2911,15170,0,17,3,4,1,5,1,2,5,2,4,0
13,34,No,1,1346,Research & Development,19,2,Medical,2,Male,3,Laboratory Technician,4,Divorced,2661,8758,0,11,3,3,1,3,2,3,2,2,1,0
14,28,Yes,1,103,Research & Development,24,3,Life Sciences,3,Male,2,Laboratory Technician,3,Single,2028,12947,1,14,3,2,0,6,4,3,4,2,0,1
15,29,No,1,1389,Research & Development,21,4,Life Sciences,2,Female,4,Manufacturing Director,1,Divorced,9980,10195,0,11,3,3,1,10,1,3,10,9,8,0
16,32,No,1,334,Research & Development,5,2,Life Sciences,1,Male,4,Research Scientist,2,Divorced,3298,15053,1,12,3,4,2,7,5,2,6,2,0,0
17,22,No,0,1123,Research & Development,16,2,Medical,4,Male,4,Laboratory Technician,4,Divorced,2935,7324,1,13,3,2,2,1,2,2,1,0,0,0
18,53,No,1,1219,Sales,2,4,Life Sciences,1,Female,2,Manager,4,Married,15427,22021,0,16,3,3,0,31,3,3,25,8,3,0
19,38,No,1,371,Research & Development,2,3,Life Sciences,4,Male,3,Research Scientist,4,Single,3944,4306,1,11,3,3,0,6,3,3,3,2,1,0
20,24,No,0,673,Research & Development,11,2,Other,1,Female,4,Manufacturing Director,3,Divorced,4011,8232,0,18,3,4,1,5,5,2,4,2,1,0
21,36,Yes,1,1218,Sales,9,4,Life Sciences,3,Male,2,Sales Representative,1,Single,3407,6986,0,23,4,2,0,10,4,3,5,3,0,1
22,34,No,1,419,Research & Development,7,4,Life Sciences,1,Female,3,Research Director,2,Single,11994,21293,0,11,3,3,0,13,4,3,12,6,2,0
23,21,No,1,391,Research & Development,15,2,Life Sciences,3,Male,3,Research Scientist,4,Single,1232,19281,0,14,3,4,0,0,6,3,0,0,0,0
